Name,Control,Region,Locale,AdmissionRate,UndergradPopulation,%White,%Black,%Hispanic,% sian,%AmericanIndian,%PacificIslander,%Biracial,%NonresidentAliens,AverageCost,CompletionRate150time,3YearDefaultRate,MedianDebtonGraduation,MedianDebtonWithdrawal,MedianFamilyIncome,PovertyRate,NumberofUnemployed8yearsafterentry,NumberofEmployed8yearsafterentry,MedianEarnings8yearsAfterEntry
Abilene Christian University,Private,Southwest,Mid-size City,0.4894,3647,0.7069,0.076,0.1206,0.0099,0.0036,0.0005,0.0373,0.0417,39811,0.5637,7.5,26237.5,9500,75873.5,7.80000019,130,1327,37200
Adams State University,Public,Rocky Mountains,Remote Town,0.526,2227,0.5123,0.0768,0.3026,0.0112,0.0153,0.0063,0.04,0,17759,0.227,9.3,0,11000,34243,11.8400002,99,752,30700
Adelphi University,Private,Mid-Atlantic,Large Suburb,0.6814,5000,0.5296,0.1062,0.1336,0.0756,0.0016,0.002,0.022,0.0396,41559,0.6251,3.7,25000,13000,54115,7.46999979,152,1524,49400
Adrian College,Private,Great Lakes,Distant Town,0.5628,1616,0.7605,0.1002,0.0217,0.0056,0.0037,0.0006,0.0384,0.0006,40199,0.5445,7.7,27000,7655,71008.5,5.71000004,34,393,33800
Adventist University of Health Sciences,Private,Southeast,Mid-size City,0.1336,2064,0.4748,0.1434,0.2016,0.0562,0.0039,0.0044,0.0199,0.0048,21358,0.3953,5.4,20730,9788,49657.5,8.30000019,49,587,51800
AIB College of Business,Private,Great Plains,Mid-size City,0.6887,1007,0.6306,0.0497,0.0586,0.0189,0.006,0.003,0.0218,0.0278,22469,0.6054,7.9,20500,7125,53783,5.63999987,47,585,34200
Alabama A & M University,Public,Southeast,Mid-size City,0.8989,4051,0.0279,0.9501,0.0089,0.0022,0.0012,0.001,0,0.0002,18888,0.2914,16.3,33611.5,14250,29039,14.8800001,221,1491,27000
Alabama State University,Public,Southeast,Mid-size City,0.5125,5354,0.0161,0.9285,0.0114,0.0015,0.0009,0.0007,0.0064,0.0207,17400,0.2517,19.1,33452,12500,24029.5,16.9599991,274,1732,22400
Albany College of Pharmacy and Health Sciences,Private,Mid-Atlantic,Small City,0.634,1075,0.6633,0.0381,0.0484,0.1284,0.0028,0.0019,0.0084,0.0586,40718,0.7235,1,25000,15000,80225,7.6500001,9,403,125600
Albany State University,Public,Southeast,Small City,0.1992,3566,0.0443,0.91,0.0095,0.0017,0.0014,0.0003,0.002,0.0025,19025,0.4249,18,31750,17250,29794,14.0900002,106,783,27900
Albertus Magnus College,Private,New England,Mid-size City,0.6821,1278,0.4476,0.277,0.1354,0.0141,0.0023,0,0.0141,0.0016,41520,0.6063,7,29000,19392,50062.5,9.18000031,67,740,48900
Albion College,Private,Great Lakes,Fringe Town,0.5639,1284,0.8178,0.0343,0.0335,0.0156,0.0031,0.0008,0.0288,0.0304,45690,0.736,5.3,27000,12000,85027.5,5.51000023,28,448,40800
Albright College,Private,Mid-Atlantic,Small City,0.6231,2333,0.6215,0.1582,0.0883,0.0257,0.006,0.0004,0.0146,0.0309,46170,0.5371,6.7,28910,12500,66577.5,6.13999987,55,874,41700
Alcorn State University,Public,Southeast,Remote Rural,0.8291,3157,0.0326,0.9328,0.006,0.0016,0.0003,0.0025,0.0114,0.0127,20330,0.3463,15.8,27940.5,17485,21250,22.0799999,110,780,26200
Alderson Broaddus University,Private,Southeast,Distant Town,0.4321,1032,0.7403,0.1609,0.0397,0.0116,0.0068,0,0.0107,0.03,33057,0.4575,9.9,29000,5500,48013,13.4099999,36,248,43500
Alfred University,Private,Mid-Atlantic,Remote Town,0.698,1905,0.6751,0.0819,0.0688,0.0163,0.001,0,0.0262,0.0152,38830,0.6216,6.9,27000,6500,69334,7.40999985,66,712,35400
Allegheny College,Private,Mid-Atlantic,Distant Town,0.6487,2126,0.802,0.0437,0.0616,0.0254,0.0005,0,0.0405,0.0216,50044,0.7917,2.6,28800,8750,85933,6.05000019,46,535,42200
Alma College,Private,Great Lakes,Distant Town,0.6791,1385,0.8657,0.0217,0.0303,0.0166,0.0087,0,0.0245,0.0036,43157,0.6118,7.8,27000,11000,74312,6.11999989,23,379,38000
Alvernia University,Private,Mid-Atlantic,Small City,0.7762,2169,0.7045,0.1415,0.0742,0.0143,0.0005,0.0005,0.0161,0.0018,39999,0.5132,6.9,27000,11000,53135,8.48999977,94,780,40400
Alverno College,Private,Great Lakes,Large City,0.7887,1833,0.5428,0.1768,0.1811,0.0475,0.012,0.0016,0.0316,0.0065,30496,0.3852,8.3,33110,15250,38705,10.0200005,77,678,34500
American International College,Private,New England,Mid-size City,0.6779,1513,0.4382,0.2538,0.0826,0.0152,0.004,0.0073,0.0443,0.0093,40803,0.4487,6,27000,9500,49259,10.4499998,58,602,36100
American University,Private,Mid-Atlantic,Large City,0.4312,6829,0.5671,0.064,0.1012,0.0638,0.0018,0.0004,0.0499,0.0688,55159,0.7989,3.3,23500,9250,86431,5.34000015,153,1443,51600
Amherst College,Private,New England,Large Suburb,0.1428,1785,0.4174,0.1165,0.1283,0.1255,0.0011,0,0.056,0.0958,59060,0.9578,4.5,11185.5,7500,85922,6.96999979,23,190,54000
Anderson University,Private,Great Lakes,Small City,0.5545,1862,0.811,0.0575,0.0269,0.007,0.0032,0.0027,0.0043,0.0328,37937,0.5678,4.3,27999,12000,72723,5.4000001,95,925,33400
Anderson University,Private,Southeast,Small City,0.6502,2381,0.8202,0.0962,0.0328,0.0101,0.0067,0.0004,0,0,35340,0.4138,9.6,27000,9624.5,58707.5,8.30000019,57,541,32600
Andrews University,Private,Great Lakes,Fringe Town,0.3751,1765,0.2856,0.2232,0.1337,0.1258,0.0028,0.0028,0.03,0.1796,33653,0.6036,7.6,29500,15250,53737,7.92999983,76,405,33400
Angelo State University,Public,Southwest,Small City,0.8049,5430,0.5451,0.0818,0.305,0.0101,0.0048,0.0007,0.0227,0.0287,19511,0.2975,13.4,21594,8250,43559,11.3699999,156,1853,34500
Anna Maria College,Private,New England,Fringe Rural,0.7756,1135,0.7198,0.0784,0.067,0.0106,0.0035,0.0018,0.0211,0.0026,42770,0.469,10,26000,9500,67437,6.57999992,23,248,36000
Appalachian State University,Public,Southeast,Distant Town,0.6323,15840,0.8612,0.0306,0.0419,0.0136,0.0025,0.0007,0.0239,0.0076,17780,0.6857,4.8,19526,9500,69100,6.86000013,262,2992,33600
Aquinas College,Private,Great Lakes,Mid-size City,0.7135,1843,0.8486,0.032,0.0521,0.0081,0.0049,0,0.0157,0.0071,34593,0.5976,9.2,25000,15000,72085,6.28999996,54,462,31200
